epoch = 95        train loss = 0.505        train acc = 0.751        test acc = 0.733
epoch = 96        train loss = 0.503        train acc = 0.752        test acc = 0.738
epoch = 97        train loss = 0.503        train acc = 0.749        test acc = 0.727
epoch = 98        train loss = 0.499        train acc = 0.752        test acc = 0.739
epoch = 99        train loss = 0.500        train acc = 0.756        test acc = 0.742
epoch = 100        train loss = 0.496        train acc = 0.756        test acc = 0.724
epoch = 101        train loss = 0.488        train acc = 0.764        test acc = 0.741
epoch = 102        train loss = 0.491        train acc = 0.760        test acc = 0.740
epoch = 103        train loss = 0.493        train acc = 0.761        test acc = 0.744
epoch = 104        train loss = 0.485        train acc = 0.760        test acc = 0.745
epoch = 105        train loss = 0.485        train acc = 0.762        test acc = 0.736
epoch = 106        train loss = 0.479        train acc = 0.766        test acc = 0.738
epoch = 107        train loss = 0.487        train acc = 0.763        test acc = 0.730
epoch = 108        train loss = 0.478        train acc = 0.769        test acc = 0.740
epoch = 109        train loss = 0.474        train acc = 0.766        test acc = 0.735
epoch = 110        train loss = 0.479        train acc = 0.767        test acc = 0.748
epoch = 111        train loss = 0.467        train acc = 0.774        test acc = 0.726
epoch = 112        train loss = 0.471        train acc = 0.781        test acc = 0.738
epoch = 113        train loss = 0.466        train acc = 0.778        test acc = 0.739
epoch = 114        train loss = 0.468        train acc = 0.774        test acc = 0.743
epoch = 115        train loss = 0.471        train acc = 0.773        test acc = 0.731
epoch = 116        train loss = 0.456        train acc = 0.784        test acc = 0.726
epoch = 117        train loss = 0.460        train acc = 0.785        test acc = 0.746
epoch = 118        train loss = 0.453        train acc = 0.783        test acc = 0.727
epoch = 119        train loss = 0.455        train acc = 0.790        test acc = 0.743
epoch = 120        train loss = 0.457        train acc = 0.781        test acc = 0.738
epoch = 121        train loss = 0.457        train acc = 0.785        test acc = 0.730
epoch = 122        train loss = 0.443        train acc = 0.794        test acc = 0.733
epoch = 123        train loss = 0.449        train acc = 0.787        test acc = 0.700
epoch = 124        train loss = 0.444        train acc = 0.788        test acc = 0.735
epoch = 125        train loss = 0.446        train acc = 0.788        test acc = 0.736
epoch = 126        train loss = 0.446        train acc = 0.782        test acc = 0.719
epoch = 127        train loss = 0.433        train acc = 0.795        test acc = 0.745
epoch = 128        train loss = 0.444        train acc = 0.791        test acc = 0.738
epoch = 129        train loss = 0.438        train acc = 0.796        test acc = 0.742
epoch = 130        train loss = 0.429        train acc = 0.799        test acc = 0.722
epoch = 131        train loss = 0.434        train acc = 0.797        test acc = 0.736
epoch = 132        train loss = 0.423        train acc = 0.803        test acc = 0.742
epoch = 133        train loss = 0.428        train acc = 0.802        test acc = 0.735
epoch = 134        train loss = 0.427        train acc = 0.796        test acc = 0.728
epoch = 135        train loss = 0.420        train acc = 0.803        test acc = 0.740
epoch = 136        train loss = 0.425        train acc = 0.802        test acc = 0.738
epoch = 137        train loss = 0.420        train acc = 0.802        test acc = 0.729
epoch = 138        train loss = 0.421        train acc = 0.801        test acc = 0.744
epoch = 139        train loss = 0.413        train acc = 0.812        test acc = 0.742
epoch = 140        train loss = 0.413        train acc = 0.807        test acc = 0.733
epoch = 141        train loss = 0.416        train acc = 0.806        test acc = 0.745
epoch = 142        train loss = 0.415        train acc = 0.805        test acc = 0.728
epoch = 143        train loss = 0.408        train acc = 0.812        test acc = 0.740
epoch = 144        train loss = 0.408        train acc = 0.810        test acc = 0.736
epoch = 145        train loss = 0.404        train acc = 0.816        test acc = 0.717
epoch = 146        train loss = 0.400        train acc = 0.817        test acc = 0.740
epoch = 147        train loss = 0.405        train acc = 0.815        test acc = 0.735
epoch = 148        train loss = 0.389        train acc = 0.822        test acc = 0.733
epoch = 149        train loss = 0.392        train acc = 0.818        test acc = 0.726
epoch = 150        train loss = 0.398        train acc = 0.816        test acc = 0.731
epoch = 151        train loss = 0.391        train acc = 0.822        test acc = 0.713
epoch = 152        train loss = 0.394        train acc = 0.815        test acc = 0.735
epoch = 153        train loss = 0.389        train acc = 0.822        test acc = 0.727
epoch = 154        train loss = 0.388        train acc = 0.824        test acc = 0.732
epoch = 155        train loss = 0.384        train acc = 0.824        test acc = 0.724
epoch = 156        train loss = 0.379        train acc = 0.825        test acc = 0.728
epoch = 157        train loss = 0.379        train acc = 0.826        test acc = 0.730
epoch = 158        train loss = 0.370        train acc = 0.834        test acc = 0.740
epoch = 159        train loss = 0.384        train acc = 0.827        test acc = 0.735
epoch = 160        train loss = 0.377        train acc = 0.825        test acc = 0.724
epoch = 161        train loss = 0.376        train acc = 0.829        test acc = 0.715
epoch = 162        train loss = 0.381        train acc = 0.825        test acc = 0.728
epoch = 163        train loss = 0.377        train acc = 0.826        test acc = 0.722
epoch = 164        train loss = 0.367        train acc = 0.835        test acc = 0.727
epoch = 165        train loss = 0.367        train acc = 0.831        test acc = 0.741
epoch = 166        train loss = 0.367        train acc = 0.835        test acc = 0.728
epoch = 167        train loss = 0.353        train acc = 0.841        test acc = 0.725
epoch = 168        train loss = 0.365        train acc = 0.833        test acc = 0.727
epoch = 169        train loss = 0.358        train acc = 0.837        test acc = 0.732
epoch = 170        train loss = 0.354        train acc = 0.840        test acc = 0.725
epoch = 171        train loss = 0.356        train acc = 0.838        test acc = 0.725
epoch = 172        train loss = 0.352        train acc = 0.839        test acc = 0.730
epoch = 173        train loss = 0.354        train acc = 0.839        test acc = 0.736
epoch = 174        train loss = 0.345        train acc = 0.845        test acc = 0.727
epoch = 175        train loss = 0.347        train acc = 0.844        test acc = 0.738
epoch = 176        train loss = 0.336        train acc = 0.843        test acc = 0.735
epoch = 177        train loss = 0.345        train acc = 0.845        test acc = 0.737
epoch = 178        train loss = 0.345        train acc = 0.843        test acc = 0.732
epoch = 179        train loss = 0.352        train acc = 0.839        test acc = 0.742
epoch = 180        train loss = 0.339        train acc = 0.846        test acc = 0.738
epoch = 181        train loss = 0.337        train acc = 0.848        test acc = 0.735
epoch = 182        train loss = 0.335        train acc = 0.846        test acc = 0.725
epoch = 183        train loss = 0.338        train acc = 0.846        test acc = 0.686
epoch = 184        train loss = 0.337        train acc = 0.849        test acc = 0.713
epoch = 185        train loss = 0.334        train acc = 0.850        test acc = 0.731
epoch = 186        train loss = 0.320        train acc = 0.857        test acc = 0.746
epoch = 187        train loss = 0.340        train acc = 0.847        test acc = 0.731
epoch = 188        train loss = 0.326        train acc = 0.854        test acc = 0.739
epoch = 189        train loss = 0.334        train acc = 0.854        test acc = 0.731
epoch = 190        train loss = 0.326        train acc = 0.856        test acc = 0.735
epoch = 191        train loss = 0.324        train acc = 0.852        test acc = 0.714
epoch = 192        train loss = 0.319        train acc = 0.854        test acc = 0.737
epoch = 193        train loss = 0.314        train acc = 0.859        test acc = 0.735
epoch = 194        train loss = 0.325        train acc = 0.856        test acc = 0.728
epoch = 195        train loss = 0.311        train acc = 0.862        test acc = 0.737
epoch = 196        train loss = 0.314        train acc = 0.858        test acc = 0.727
epoch = 197        train loss = 0.319        train acc = 0.859        test acc = 0.714
epoch = 198        train loss = 0.309        train acc = 0.862        test acc = 0.723
epoch = 199        train loss = 0.309        train acc = 0.863        test acc = 0.742
epoch = 200        train loss = 0.321        train acc = 0.858        test acc = 0.729
epoch = 201        train loss = 0.307        train acc = 0.867        test acc = 0.726
epoch = 202        train loss = 0.302        train acc = 0.863        test acc = 0.729
epoch = 203        train loss = 0.301        train acc = 0.869        test acc = 0.741
epoch = 204        train loss = 0.307        train acc = 0.862        test acc = 0.732
epoch = 205        train loss = 0.300        train acc = 0.868        test acc = 0.723
epoch = 206        train loss = 0.303        train acc = 0.863        test acc = 0.731
epoch = 207        train loss = 0.298        train acc = 0.869        test acc = 0.722
epoch = 208        train loss = 0.299        train acc = 0.867        test acc = 0.728
epoch = 209        train loss = 0.305        train acc = 0.865        test acc = 0.693
epoch = 210        train loss = 0.301        train acc = 0.865        test acc = 0.735
epoch = 211        train loss = 0.295        train acc = 0.870        test acc = 0.728
epoch = 212        train loss = 0.291        train acc = 0.873        test acc = 0.733
epoch = 213        train loss = 0.294        train acc = 0.872        test acc = 0.728
epoch = 214        train loss = 0.291        train acc = 0.870        test acc = 0.725
epoch = 215        train loss = 0.282        train acc = 0.876        test acc = 0.736
epoch = 216        train loss = 0.293        train acc = 0.867        test acc = 0.716
epoch = 217        train loss = 0.282        train acc = 0.877        test acc = 0.721
epoch = 218        train loss = 0.282        train acc = 0.878        test acc = 0.726
epoch = 219        train loss = 0.272        train acc = 0.884        test acc = 0.708
epoch = 220        train loss = 0.287        train acc = 0.876        test acc = 0.733
epoch = 221        train loss = 0.285        train acc = 0.875        test acc = 0.725
epoch = 222        train loss = 0.278        train acc = 0.880        test acc = 0.727
epoch = 223        train loss = 0.277        train acc = 0.881        test acc = 0.738
epoch = 224        train loss = 0.282        train acc = 0.877        test acc = 0.739
epoch = 225        train loss = 0.286        train acc = 0.875        test acc = 0.729
epoch = 226        train loss = 0.276        train acc = 0.876        test acc = 0.719
epoch = 227        train loss = 0.263        train acc = 0.888        test acc = 0.726
epoch = 228        train loss = 0.266        train acc = 0.884        test acc = 0.704
epoch = 229        train loss = 0.277        train acc = 0.875        test acc = 0.721
epoch = 230        train loss = 0.281        train acc = 0.874        test acc = 0.722
epoch = 231        train loss = 0.263        train acc = 0.885        test acc = 0.724
epoch = 232        train loss = 0.269        train acc = 0.884        test acc = 0.734
epoch = 233        train loss = 0.266        train acc = 0.885        test acc = 0.727
epoch = 234        train loss = 0.270        train acc = 0.884        test acc = 0.729
epoch = 235        train loss = 0.267        train acc = 0.885        test acc = 0.721
epoch = 236        train loss = 0.276        train acc = 0.881        test acc = 0.731
epoch = 237        train loss = 0.261        train acc = 0.888        test acc = 0.729
epoch = 238        train loss = 0.262        train acc = 0.886        test acc = 0.730
epoch = 239        train loss = 0.265        train acc = 0.881        test acc = 0.736
epoch = 240        train loss = 0.250        train acc = 0.894        test acc = 0.725
epoch = 241        train loss = 0.264        train acc = 0.884        test acc = 0.720
epoch = 242        train loss = 0.263        train acc = 0.887        test acc = 0.716
epoch = 243        train loss = 0.262        train acc = 0.886        test acc = 0.733
epoch = 244        train loss = 0.262        train acc = 0.888        test acc = 0.727
epoch = 245        train loss = 0.251        train acc = 0.892        test acc = 0.730
epoch = 246        train loss = 0.262        train acc = 0.889        test acc = 0.719
epoch = 247        train loss = 0.253        train acc = 0.892        test acc = 0.742
epoch = 248        train loss = 0.254        train acc = 0.888        test acc = 0.730
epoch = 249        train loss = 0.255        train acc = 0.888        test acc = 0.734
epoch = 250        train loss = 0.250        train acc = 0.893        test acc = 0.739
epoch = 251        train loss = 0.246        train acc = 0.894        test acc = 0.715
epoch = 252        train loss = 0.255        train acc = 0.894        test acc = 0.726
epoch = 253        train loss = 0.257        train acc = 0.888        test acc = 0.731
epoch = 254        train loss = 0.256        train acc = 0.888        test acc = 0.733
epoch = 255        train loss = 0.242        train acc = 0.894        test acc = 0.722
epoch = 256        train loss = 0.249        train acc = 0.893        test acc = 0.737
epoch = 257        train loss = 0.239        train acc = 0.896        test acc = 0.736
epoch = 258        train loss = 0.237        train acc = 0.900        test acc = 0.726
epoch = 259        train loss = 0.247        train acc = 0.893        test acc = 0.732
epoch = 260        train loss = 0.239        train acc = 0.896        test acc = 0.742
epoch = 261        train loss = 0.242        train acc = 0.896        test acc = 0.721
epoch = 262        train loss = 0.240        train acc = 0.900        test acc = 0.739
epoch = 263        train loss = 0.233        train acc = 0.901        test acc = 0.731
epoch = 264        train loss = 0.250        train acc = 0.895        test acc = 0.730
epoch = 265        train loss = 0.235        train acc = 0.898        test acc = 0.733
epoch = 266        train loss = 0.229        train acc = 0.901        test acc = 0.724
epoch = 267        train loss = 0.240        train acc = 0.898        test acc = 0.741
epoch = 268        train loss = 0.235        train acc = 0.897        test acc = 0.731
epoch = 269        train loss = 0.233        train acc = 0.897        test acc = 0.738
epoch = 270        train loss = 0.235        train acc = 0.898        test acc = 0.728
epoch = 271        train loss = 0.234        train acc = 0.902        test acc = 0.737
epoch = 272        train loss = 0.232        train acc = 0.899        test acc = 0.728
epoch = 273        train loss = 0.225        train acc = 0.902        test acc = 0.731
epoch = 274        train loss = 0.240        train acc = 0.898        test acc = 0.732
epoch = 275        train loss = 0.235        train acc = 0.899        test acc = 0.735
epoch = 276        train loss = 0.231        train acc = 0.901        test acc = 0.742
epoch = 277        train loss = 0.222        train acc = 0.906        test acc = 0.739
epoch = 278        train loss = 0.226        train acc = 0.904        test acc = 0.735
epoch = 279        train loss = 0.235        train acc = 0.898        test acc = 0.735
epoch = 280        train loss = 0.231        train acc = 0.902        test acc = 0.734
epoch = 281        train loss = 0.230        train acc = 0.895        test acc = 0.734
epoch = 282        train loss = 0.216        train acc = 0.905        test acc = 0.732
epoch = 283        train loss = 0.233        train acc = 0.896        test acc = 0.732
epoch = 284        train loss = 0.229        train acc = 0.903        test acc = 0.748
epoch = 285        train loss = 0.217        train acc = 0.909        test acc = 0.732
epoch = 286        train loss = 0.226        train acc = 0.901        test acc = 0.746
epoch = 287        train loss = 0.216        train acc = 0.909        test acc = 0.724
epoch = 288        train loss = 0.218        train acc = 0.906        test acc = 0.731
epoch = 289        train loss = 0.222        train acc = 0.905        test acc = 0.734
epoch = 290        train loss = 0.219        train acc = 0.904        test acc = 0.737
epoch = 291        train loss = 0.216        train acc = 0.910        test acc = 0.734
epoch = 292        train loss = 0.203        train acc = 0.917        test acc = 0.735
epoch = 293        train loss = 0.210        train acc = 0.907        test acc = 0.722
epoch = 294        train loss = 0.215        train acc = 0.909        test acc = 0.745
epoch = 295        train loss = 0.225        train acc = 0.905        test acc = 0.733
epoch = 296        train loss = 0.217        train acc = 0.909        test acc = 0.736
epoch = 297        train loss = 0.210        train acc = 0.912        test acc = 0.739
epoch = 298        train loss = 0.217        train acc = 0.910        test acc = 0.725
epoch = 299        train loss = 0.213        train acc = 0.906        test acc = 0.741
epoch = 300        train loss = 0.216        train acc = 0.910        test acc = 0.732
max test acc = 0.748 in epoch = 110
2668800 examples for 143.6 minutes on cuda
FPS: 283
